"n","k","b0","b1","n_sims","true_coef","method","ev","mc_error_ev","bias","percent_bias","var","mse","prop_ones"
120,6,-1,0.5,50000,0.5,"PML",0.501928,0.000992351,0.00192794,0.385588,0.049238,0.0492407,0.282658
130,6,-1,0.5,50000,0.5,"ML",0.539182,0.00106269,0.0391821,7.83642,0.056466,0.0580001,0.303368
130,6,-1,0.5,50000,0.5,"PML",0.50055,0.000976587,0.000549776,0.109955,0.0476861,0.0476854,0.303368
140,6,-1,0.5,50000,0.5,"ML",0.530565,0.00106385,0.0305653,6.11305,0.0565892,0.0575223,0.282316
140,6,-1,0.5,50000,0.5,"PML",0.500154,0.000986399,0.000154353,0.0308707,0.0486491,0.0486482,0.282316
150,6,-1,0.5,50000,0.5,"ML",0.532328,0.000931752,0.0323284,6.46568,0.043408,0.0444523,0.273956
150,6,-1,0.5,50000,0.5,"PML",0.499748,0.000861302,-0.000252179,-0.0504357,0.0370921,0.0370914,0.273956
160,6,-1,0.5,50000,0.5,"ML",0.534432,0.000878243,0.0344321,6.88642,0.0385655,0.0397503,0.312646
160,6,-1,0.5,50000,0.5,"PML",0.501564,0.00082379,0.00156439,0.312878,0.0339315,0.0339332,0.312646
170,6,-1,0.5,50000,0.5,"ML",0.529926,0.000905047,0.0299257,5.98514,0.0409555,0.0418502,0.27384
170,6,-1,0.5,50000,0.5,"PML",0.499547,0.000849292,-0.000453138,-0.0906276,0.0360648,0.0360643,0.27384
180,6,-1,0.5,50000,0.5,"ML",0.528363,0.000863336,0.0283635,5.67269,0.0372675,0.0380712,0.284461
180,6,-1,0.5,50000,0.5,"PML",0.500708,0.000814708,0.000707562,0.141512,0.0331875,0.0331873,0.284461
190,6,-1,0.5,50000,0.5,"ML",0.52675,0.000815443,0.0267497,5.34994,0.0332474,0.0339623,0.288965
190,6,-1,0.5,50000,0.5,"PML",0.50044,0.000772353,0.00043956,0.087912,0.0298265,0.0298261,0.288965
200,6,-1,0.5,50000,0.5,"ML",0.525618,0.000810042,0.0256178,5.12356,0.0328084,0.033464,0.298234
200,6,-1,0.5,50000,0.5,"PML",0.500736,0.000770295,0.000736394,0.147279,0.0296677,0.0296677,0.298234
210,6,-1,0.5,50000,0.5,"ML",0.523357,0.000788447,0.0233565,4.6713,0.0310825,0.0316274,0.298854
210,6,-1,0.5,50000,0.5,"PML",0.49934,0.00075089,-0.000660229,-0.132046,0.0281918,0.0281917,0.298854
30,9,-1,0.5,50000,0.5,"ML",0.842539,0.00720314,0.342539,68.5078,2.59426,2.71153,0.291007
30,9,-1,0.5,50000,0.5,"PML",0.528278,0.0027491,0.0282782,5.65563,0.377877,0.378669,0.291007
40,9,-1,0.5,50000,0.5,"ML",0.851157,0.00507062,0.351157,70.2313,1.28556,1.40884,0.292848
40,9,-1,0.5,50000,0.5,"PML",0.5216,0.00256999,0.0215997,4.31995,0.330242,0.330702,0.292848
50,9,-1,0.5,50000,0.5,"ML",0.739363,0.00277216,0.239363,47.8726,0.384244,0.441531,0.306328
50,9,-1,0.5,50000,0.5,"PML",0.516317,0.00169819,0.0163172,3.26344,0.144192,0.144456,0.306328
60,9,-1,0.5,50000,0.5,"ML",0.644211,0.00217565,0.144211,28.8423,0.236673,0.257466,0.331736
60,9,-1,0.5,50000,0.5,"PML",0.511386,0.00159595,0.0113861,2.27722,0.127353,0.12748,0.331736
70,9,-1,0.5,50000,0.5,"ML",0.630982,0.00190269,0.130982,26.1963,0.181012,0.198164,0.270658
70,9,-1,0.5,50000,0.5,"PML",0.506379,0.00141188,0.00637877,1.27575,0.09967,0.0997087,0.270658
80,9,-1,0.5,50000,0.5,"ML",0.617697,0.00170558,0.117697,23.5394,0.14545,0.1593,0.288887
80,9,-1,0.5,50000,0.5,"PML",0.50748,0.00139251,0.00747977,1.49595,0.0969542,0.0970082,0.288887
90,9,-1,0.5,50000,0.5,"ML",0.591486,0.00146608,0.0914862,18.2972,0.10747,0.115837,0.266611
90,9,-1,0.5,50000,0.5,"PML",0.502929,0.00121519,0.00292874,0.585749,0.0738338,0.0738409,0.266611
100,9,-1,0.5,50000,0.5,"ML",0.591468,0.00145097,0.091468,18.2936,0.105266,0.113631,0.281599
100,9,-1,0.5,50000,0.5,"PML",0.506567,0.00121169,0.00656737,1.31347,0.0734096,0.0734512,0.281599
110,9,-1,0.5,50000,0.5,"ML",0.569605,0.00140869,0.0696052,13.921,0.0992199,0.104063,0.306825
110,9,-1,0.5,50000,0.5,"PML",0.501314,0.0012323,0.00131447,0.262894,0.0759288,0.075929,0.306825
120,9,-1,0.5,50000,0.5,"ML",0.562154,0.00124739,0.0621543,12.4309,0.0777991,0.0816607,0.284445
120,9,-1,0.5,50000,0.5,"PML",0.502601,0.00109882,0.00260084,0.520169,0.0603705,0.0603761,0.284445
130,9,-1,0.5,50000,0.5,"ML",0.561428,0.00116988,0.0614284,12.2857,0.0684305,0.0722025,0.298774
130,9,-1,0.5,50000,0.5,"PML",0.500439,0.00104471,0.000439471,0.0878942,0.0545711,0.0545702,0.298774
140,9,-1,0.5,50000,0.5,"ML",0.554933,0.00112913,0.0549328,10.9866,0.0637463,0.0667626,0.303015
140,9,-1,0.5,50000,0.5,"PML",0.503634,0.00101462,0.00363377,0.726753,0.0514728,0.051485,0.303015
150,9,-1,0.5,50000,0.5,"ML",0.554113,0.000945825,0.0541129,10.8226,0.0447293,0.0476566,0.279857
150,9,-1,0.5,50000,0.5,"PML",0.503553,0.000856669,0.00355317,0.710635,0.0366941,0.036706,0.279857
160,9,-1,0.5,50000,0.5,"ML",0.544009,0.00113008,0.0440094,8.80189,0.063854,0.0657896,0.267824
160,9,-1,0.5,50000,0.5,"PML",0.500702,0.0010296,0.000702262,0.140452,0.0530041,0.0530036,0.267824
170,9,-1,0.5,50000,0.5,"ML",0.542724,0.000946079,0.0427244,8.54487,0.0447533,0.0465778,0.283177
170,9,-1,0.5,50000,0.5,"PML",0.500784,0.000863639,0.000784499,0.1569,0.0372936,0.0372935,0.283177
180,9,-1,0.5,50000,0.5,"ML",0.544807,0.000818466,0.044807,8.96141,0.0334943,0.0355013,0.288509
180,9,-1,0.5,50000,0.5,"PML",0.502499,0.000756364,0.00249918,0.499835,0.0286043,0.02861,0.288509
190,9,-1,0.5,50000,0.5,"ML",0.537845,0.000854176,0.0378451,7.56903,0.0364808,0.0379123,0.298641
190,9,-1,0.5,50000,0.5,"PML",0.500942,0.000790546,0.000941866,0.188373,0.0312482,0.0312484,0.298641
200,9,-1,0.5,50000,0.5,"ML",0.535715,0.000863409,0.0357152,7.14304,0.0372737,0.0385486,0.282532
200,9,-1,0.5,50000,0.5,"PML",0.500244,0.000801447,0.000244401,0.0488802,0.0321159,0.0321153,0.282532
210,9,-1,0.5,50000,0.5,"ML",0.53594,0.000845611,0.0359396,7.18791,0.0357529,0.0370438,0.272002
210,9,-1,0.5,50000,0.5,"PML",0.500314,0.000787993,0.0003135,0.0627,0.0310467,0.0310461,0.272002
30,3,-0.5,0.5,50000,0.5,"ML",0.638558,0.00271411,0.138558,27.7116,0.368319,0.38751,0.40106
30,3,-0.5,0.5,50000,0.5,"PML",0.513919,0.00204209,0.0139188,2.78376,0.208506,0.208696,0.40106
40,3,-0.5,0.5,50000,0.5,"ML",0.580013,0.001924,0.0800129,16.0026,0.18509,0.191488,0.397045
40,3,-0.5,0.5,50000,0.5,"PML",0.50472,0.00163293,0.00472029,0.944058,0.133323,0.133343,0.397045
50,3,-0.5,0.5,50000,0.5,"ML",0.568211,0.00139929,0.0682112,13.6422,0.0979001,0.102551,0.380919
50,3,-0.5,0.5,50000,0.5,"PML",0.504081,0.0012192,0.00408052,0.816105,0.0743225,0.0743377,0.380919
60,3,-0.5,0.5,50000,0.5,"ML",0.555388,0.00136379,0.0553878,11.0776,0.0929967,0.0960626,0.342993
60,3,-0.5,0.5,50000,0.5,"PML",0.502751,0.00121875,0.00275127,0.550255,0.0742674,0.0742735,0.342993
70,3,-0.5,0.5,50000,0.5,"ML",0.54612,0.0013109,0.0461202,9.22404,0.0859234,0.0880487,0.38381
70,3,-0.5,0.5,50000,0.5,"PML",0.501669,0.00120397,0.00166893,0.333785,0.0724773,0.0724787,0.38381
80,3,-0.5,0.5,50000,0.5,"ML",0.538083,0.00116488,0.0380826,7.61652,0.0678475,0.0692964,0.404072
80,3,-0.5,0.5,50000,0.5,"PML",0.501613,0.00107695,0.00161331,0.322663,0.0579908,0.0579923,0.404072
90,3,-0.5,0.5,50000,0.5,"ML",0.536937,0.00108865,0.0369374,7.38748,0.0592576,0.0606208,0.383595
90,3,-0.5,0.5,50000,0.5,"PML",0.503388,0.001014,0.00338787,0.677573,0.0514101,0.0514206,0.383595
100,3,-0.5,0.5,50000,0.5,"ML",0.533426,0.001122,0.033426,6.68521,0.0629442,0.0640602,0.393814
100,3,-0.5,0.5,50000,0.5,"PML",0.502608,0.00105195,0.00260802,0.521604,0.0553295,0.0553352,0.393814
110,3,-0.5,0.5,50000,0.5,"ML",0.526364,0.00102204,0.026364,5.27281,0.0522282,0.0529223,0.366998
110,3,-0.5,0.5,50000,0.5,"PML",0.500397,0.000967743,0.000397003,0.0794007,0.0468263,0.0468256,0.366998
120,3,-0.5,0.5,50000,0.5,"ML",0.525454,0.000956349,0.0254537,5.09073,0.0457302,0.0463772,0.376926
120,3,-0.5,0.5,50000,0.5,"PML",0.499593,0.000905911,-0.000406668,-0.0813336,0.0410338,0.0410331,0.376926
130,3,-0.5,0.5,50000,0.5,"ML",0.523668,0.000937226,0.0236684,4.73368,0.0439196,0.044479,0.379988
130,3,-0.5,0.5,50000,0.5,"PML",0.501226,0.000894051,0.00122606,0.245212,0.0399664,0.0399671,0.379988
140,3,-0.5,0.5,50000,0.5,"ML",0.519647,0.000804036,0.0196471,3.92941,0.0323237,0.032709,0.397616
140,3,-0.5,0.5,50000,0.5,"PML",0.49994,0.000768474,-5.96005e-05,-0.0119201,0.0295276,0.029527,0.397616
150,3,-0.5,0.5,50000,0.5,"ML",0.522519,0.000824977,0.0225185,4.50371,0.0340293,0.0345358,0.392671
150,3,-0.5,0.5,50000,0.5,"PML",0.500817,0.000788015,0.000816508,0.163302,0.0310484,0.0310484,0.392671
160,3,-0.5,0.5,50000,0.5,"ML",0.52167,0.000858516,0.0216699,4.33398,0.0368525,0.0373213,0.383483
160,3,-0.5,0.5,50000,0.5,"PML",0.500436,0.000824877,0.000436474,0.0872948,0.0340211,0.0340206,0.383483
170,3,-0.5,0.5,50000,0.5,"ML",0.517105,0.000753853,0.0171054,3.42109,0.0284147,0.0287068,0.377987
170,3,-0.5,0.5,50000,0.5,"PML",0.499987,0.000727494,-1.33092e-05,-0.00266184,0.0264623,0.0264618,0.377987
180,3,-0.5,0.5,50000,0.5,"ML",0.520246,0.000807734,0.0202461,4.04922,0.0326217,0.033031,0.38515
180,3,-0.5,0.5,50000,0.5,"PML",0.501873,0.000780219,0.00187278,0.374557,0.0304371,0.0304399,0.38515
190,3,-0.5,0.5,50000,0.5,"ML",0.51634,0.000750035,0.0163403,3.26807,0.0281277,0.0283941,0.378426
190,3,-0.5,0.5,50000,0.5,"PML",0.4998,0.000725892,-0.000199513,-0.0399026,0.0263459,0.0263455,0.378426
200,3,-0.5,0.5,50000,0.5,"ML",0.518201,0.000758995,0.0182012,3.64023,0.0288037,0.0291344,0.364514
200,3,-0.5,0.5,50000,0.5,"PML",0.501315,0.000734586,0.00131525,0.263051,0.0269808,0.026982,0.364514
210,3,-0.5,0.5,50000,0.5,"ML",0.515319,0.000698996,0.0153191,3.06381,0.0244298,0.024664,0.384362
210,3,-0.5,0.5,50000,0.5,"PML",0.500801,0.00067861,0.000800812,0.160162,0.0230256,0.0230257,0.384362
30,6,-0.5,0.5,50000,0.5,"ML",0.841897,0.00461513,0.341897,68.3795,1.06497,1.18184,0.328328
30,6,-0.5,0.5,50000,0.5,"PML",0.540549,0.00255147,0.0405487,8.10973,0.325501,0.327138,0.328328
40,6,-0.5,0.5,50000,0.5,"ML",0.680877,0.00219036,0.180877,36.1755,0.239885,0.272596,0.390602
40,6,-0.5,0.5,50000,0.5,"PML",0.515396,0.00142824,0.0153958,3.07916,0.101993,0.102228,0.390602
50,6,-0.5,0.5,50000,0.5,"ML",0.62942,0.00223648,0.12942,25.884,0.250092,0.266836,0.374672
50,6,-0.5,0.5,50000,0.5,"PML",0.509127,0.00176956,0.00912723,1.82545,0.156568,0.156648,0.374672
60,6,-0.5,0.5,50000,0.5,"ML",0.586412,0.0019583,0.0864115,17.2823,0.191746,0.199209,0.38999
60,6,-0.5,0.5,50000,0.5,"PML",0.504911,0.00164192,0.00491088,0.982177,0.134796,0.134817,0.38999
70,6,-0.5,0.5,50000,0.5,"ML",0.580531,0.00155007,0.0805307,16.1061,0.120136,0.126619,0.370475
70,6,-0.5,0.5,50000,0.5,"PML",0.504209,0.00131338,0.00420915,0.84183,0.0862488,0.0862648,0.370475
80,6,-0.5,0.5,50000,0.5,"ML",0.568055,0.00128424,0.0680546,13.6109,0.0824635,0.0870932,0.426887
80,6,-0.5,0.5,50000,0.5,"PML",0.505615,0.00113041,0.00561471,1.12294,0.0638912,0.0639214,0.426887
90,6,-0.5,0.5,50000,0.5,"ML",0.561402,0.00149492,0.0614023,12.2805,0.111739,0.115507,0.376604
90,6,-0.5,0.5,50000,0.5,"PML",0.503033,0.00133263,0.00303319,0.606639,0.0887946,0.088802,0.376604
100,6,-0.5,0.5,50000,0.5,"ML",0.554331,0.00127104,0.0543307,10.8661,0.0807777,0.0837279,0.380324
100,6,-0.5,0.5,50000,0.5,"PML",0.501971,0.00114834,0.00197077,0.394154,0.0659341,0.0659366,0.380324
110,6,-0.5,0.5,50000,0.5,"ML",0.547131,0.0010753,0.0471307,9.42615,0.0578135,0.0600336,0.414941
110,6,-0.5,0.5,50000,0.5,"PML",0.502946,0.000978704,0.00294602,0.589205,0.0478931,0.0479008,0.414941
120,6,-0.5,0.5,50000,0.5,"ML",0.541656,0.00104883,0.0416564,8.33127,0.0550024,0.0567366,0.402506
120,6,-0.5,0.5,50000,0.5,"PML",0.501737,0.000965475,0.00173714,0.347429,0.0466071,0.0466092,0.402506
130,6,-0.5,0.5,50000,0.5,"ML",0.537185,0.00100941,0.0371854,7.43709,0.0509454,0.0523271,0.382715
130,6,-0.5,0.5,50000,0.5,"PML",0.499685,0.000933538,-0.000314812,-0.0629623,0.0435747,0.0435739,0.382715
140,6,-0.5,0.5,50000,0.5,"ML",0.539414,0.000953202,0.0394137,7.88274,0.0454297,0.0469822,0.383465
140,6,-0.5,0.5,50000,0.5,"PML",0.502008,0.000885385,0.00200808,0.401617,0.0391954,0.0391986,0.383465
150,6,-0.5,0.5,50000,0.5,"ML",0.532542,0.000869169,0.0325422,6.50845,0.0377727,0.0388309,0.375168
150,6,-0.5,0.5,50000,0.5,"PML",0.501027,0.000813618,0.0010267,0.205341,0.0330987,0.0330991,0.375168
160,6,-0.5,0.5,50000,0.5,"ML",0.53139,0.000934008,0.0313898,6.27796,0.0436186,0.044603,0.372538
160,6,-0.5,0.5,50000,0.5,"PML",0.501172,0.00088341,0.0011719,0.23438,0.0390206,0.0390212,0.372538
170,6,-0.5,0.5,50000,0.5,"ML",0.530287,0.000834345,0.0302872,6.05744,0.0348066,0.0357232,0.381041
170,6,-0.5,0.5,50000,0.5,"PML",0.501327,0.000788378,0.00132688,0.265376,0.031077,0.0310781,0.381041
180,6,-0.5,0.5,50000,0.5,"ML",0.526512,0.000906365,0.0265119,5.30238,0.0410749,0.0417769,0.370513
180,6,-0.5,0.5,50000,0.5,"PML",0.500515,0.000859932,0.00051526,0.103052,0.0369741,0.0369737,0.370513
190,6,-0.5,0.5,50000,0.5,"ML",0.5269,0.000789124,0.0269,5.38,0.0311358,0.0318588,0.387559
190,6,-0.5,0.5,50000,0.5,"PML",0.500928,0.000748866,0.000927772,0.185554,0.02804,0.0280403,0.387559
200,6,-0.5,0.5,50000,0.5,"ML",0.526552,0.00075711,0.0265521,5.31042,0.0286608,0.0293653,0.391587
200,6,-0.5,0.5,50000,0.5,"PML",0.500755,0.000719781,0.000755108,0.151022,0.0259043,0.0259043,0.391587
210,6,-0.5,0.5,50000,0.5,"ML",0.523325,0.000686198,0.0233254,4.66508,0.0235434,0.024087,0.397062
210,6,-0.5,0.5,50000,0.5,"PML",0.501328,0.000654558,0.00132793,0.265587,0.0214223,0.0214236,0.397062
30,9,-0.5,0.5,50000,0.5,"ML",0.974165,0.00690141,0.474165,94.833,2.38147,2.60625,0.39027
30,9,-0.5,0.5,50000,0.5,"PML",0.552765,0.00329808,0.0527653,10.5531,0.543866,0.54664,0.39027
40,9,-0.5,0.5,50000,0.5,"ML",0.871081,0.00388361,0.371081,74.2161,0.754123,0.891808,0.404777
40,9,-0.5,0.5,50000,0.5,"PML",0.536291,0.0019345,0.0362915,7.25829,0.187114,0.188428,0.404777
50,9,-0.5,0.5,50000,0.5,"ML",0.723162,0.00245833,0.223162,44.6323,0.302169,0.351965,0.381518
50,9,-0.5,0.5,50000,0.5,"PML",0.522222,0.00160719,0.0222218,4.44435,0.129154,0.129645,0.381518
60,9,-0.5,0.5,50000,0.5,"ML",0.655817,0.00258454,0.155817,31.1634,0.333991,0.358264,0.387647
60,9,-0.5,0.5,50000,0.5,"PML",0.512727,0.00198018,0.0127273,2.54546,0.196056,0.196214,0.387647
70,9,-0.5,0.5,50000,0.5,"ML",0.613219,0.00166533,0.113219,22.6438,0.138667,0.151482,0.400549
70,9,-0.5,0.5,50000,0.5,"PML",0.508579,0.00132223,0.00857948,1.7159,0.0874143,0.0874861,0.400549
80,9,-0.5,0.5,50000,0.5,"ML",0.604488,0.00155309,0.104488,20.8977,0.120604,0.13152,0.377999
80,9,-0.5,0.5,50000,0.5,"PML",0.506401,0.00129004,0.00640145,1.28029,0.08321,0.0832494,0.377999
90,9,-0.5,0.5,50000,0.5,"ML",0.582866,0.00144353,0.0828661,16.5732,0.104189,0.111053,0.400223
90,9,-0.5,0.5,50000,0.5,"PML",0.505278,0.00124082,0.0052776,1.05552,0.0769818,0.0770081,0.400223
100,9,-0.5,0.5,50000,0.5,"ML",0.569184,0.00132978,0.0691845,13.8369,0.0884156,0.0932003,0.373544
100,9,-0.5,0.5,50000,0.5,"PML",0.503268,0.00115895,0.00326776,0.653553,0.0671584,0.0671677,0.373544
110,9,-0.5,0.5,50000,0.5,"ML",0.565047,0.00113698,0.0650472,13.0094,0.0646357,0.0688656,0.390573
110,9,-0.5,0.5,50000,0.5,"PML",0.501865,0.00100558,0.00186477,0.372954,0.0505596,0.0505621,0.390573
120,9,-0.5,0.5,50000,0.5,"ML",0.560252,0.00106731,0.0602522,12.0504,0.0569572,0.0605863,0.394575
120,9,-0.5,0.5,50000,0.5,"PML",0.503293,0.000952769,0.00329287,0.658573,0.0453884,0.0453984,0.394575
130,9,-0.5,0.5,50000,0.5,"ML",0.555974,0.00110967,0.0559736,11.1947,0.0615682,0.0647,0.386101
130,9,-0.5,0.5,50000,0.5,"PML",0.501696,0.000998402,0.00169603,0.339206,0.0498404,0.0498423,0.386101
140,9,-0.5,0.5,50000,0.5,"ML",0.548542,0.000960969,0.0485421,9.70842,0.0461731,0.0485285,0.378257
140,9,-0.5,0.5,50000,0.5,"PML",0.50265,0.000876073,0.00265013,0.530025,0.0383752,0.0383815,0.378257
150,9,-0.5,0.5,50000,0.5,"ML",0.546055,0.000904513,0.0460548,9.21095,0.0409072,0.0430274,0.378232
150,9,-0.5,0.5,50000,0.5,"PML",0.501826,0.000826461,0.00182576,0.365151,0.0341519,0.0341545,0.378232
160,9,-0.5,0.5,50000,0.5,"ML",0.543732,0.000909385,0.0437325,8.74649,0.0413491,0.0432608,0.388129
160,9,-0.5,0.5,50000,0.5,"PML",0.502021,0.000836937,0.00202097,0.404194,0.0350232,0.0350266,0.388129
170,9,-0.5,0.5,50000,0.5,"ML",0.539792,0.000891818,0.0397922,7.95845,0.0397669,0.0413496,0.376537
170,9,-0.5,0.5,50000,0.5,"PML",0.502531,0.000823959,0.00253108,0.506217,0.0339454,0.0339511,0.376537
180,9,-0.5,0.5,50000,0.5,"ML",0.534335,0.000892351,0.0343354,6.86708,0.0398145,0.0409927,0.383629
180,9,-0.5,0.5,50000,0.5,"PML",0.49899,0.000831596,-0.00101028,-0.202057,0.0345776,0.0345779,0.383629
190,9,-0.5,0.5,50000,0.5,"ML",0.537533,0.000862964,0.0375334,7.50668,0.0372354,0.0386434,0.393271
190,9,-0.5,0.5,50000,0.5,"PML",0.5022,0.000803941,0.00219971,0.439942,0.032316,0.0323202,0.393271
200,9,-0.5,0.5,50000,0.5,"ML",0.532504,0.000834056,0.032504,6.5008,0.0347825,0.0358383,0.382245
200,9,-0.5,0.5,50000,0.5,"PML",0.500974,0.000782097,0.000974092,0.194818,0.0305838,0.0305841,0.382245
