warnum	obsnum	obsname	conqueror	loser	ccode1	ccode2	startdate	conqdate	resend	yearconq	default	conqflag	esw	firc	insurgency	resist	succeed	terraim	govtaim	ongoing	alldeaths	losdeaths	conqsize	lossize	countrysize	coord	cowinit	edel_threat	distance	contig	terrain	elevate	forest	culclash	relclash	relclash_sect	language_group_low	language_group_high	language	natl1	natl2	natl3	gdppc	gdppc2	yearonset	yearm1	polity_conq	politycq_onset	politycq_onsetm1	polity_los	energy	tpop	upop	polityls_onset	polityls_onsetm1	durat	soldperterr	mtnfor	urbpc	edel	lndurat	lnlosdeaths	lnlosdeathspc	lncqsize	lndist	lngdppc	lngdppc2	terraim_s	govtaim_s	alldeaths_s	losdeaths_s	lncqsize_s	soldperterr_s	polity_conq_s	polity_los_s	terrain_s	elevate_s	forest_s	mtnfor_s	lndurat_s	lnlosdeaths_s	lnlosdeathspc_s	distance_s	lndist_s	lngdppc_s	urbpc_s
49	49.0	"Triple Alliance"	"Brazil"	"Paraguay"	140	150	"11/12/1864"	"1/1/1869"	"3/1/1870"	1869	1	0	0	0	0	1	0	1	1	0	250000	220000	111650	50000	407800	1	0	"External"	1488.866	1	1.1	804	0.5325195	0	0	0	0	0	1	1	1	1		676.0	1864.0	1863.0	-6	-6	-6	-9	0	264	0	-9	-9	1512.0	-1.2954079	27.175976	0.0	1.0	7.3211884	12.301383	6.725434	11.623124	7.30577		6.516193	-0.057611503	-0.37939346	0.060451772	0.27368388	0.21302556	-0.22301207	-0.581884	-1.001803	-0.93475395	-1.2691325	0.6068889	-0.14484769	1.5222139	1.6857216	2.8852918	-0.36265016	0.055865645		-1.1779459
19	19.0	"La Plata"	"Brazil"	"Argentina"	140	160	"7/18/1851"	"2/3/1852"	"."	1852	1	0	0	0	0	0		0	1	0	700	500	25000	22000	2736690	0	1	"No"	1967.268	1	28.4	7002	0.35039774	0	0	0	0	0	1	0	0	1		681.7	1851.0	1850.0	-6	-6	-6	-5	65	1006	115	-5	-5	201.0	-4.6956286	31.719887	0.11431412	0.0	5.3033047	6.214608	-0.6991292	10.126631	7.584401		6.5245895	-1.1666329	-0.37939346	-0.20121937	-0.22253345	-0.614073	-1.5228196	-0.581884	-0.35357755	0.3686184	1.881625	-0.23108847	0.10197843	0.4877448	-0.7568464	-0.045592185	-0.2054541	0.3008549		0.17699742
139	139.3	"World War II"	"Germany"	"Netherlands"	255	210	"5/10/1940"	"5/14/1940"	"."	1940	1	0	0	0	0	0		2	2	1	3100	2100	360000	400000	33883	0	1	"No"	577.385	1	0.0	328	0.10182999	0	0	0	0	0	1	1	1	1	4831.0	4831.0	1940.0	1939.0	-9	-9	-9	10	12668	8880	2418	10	10	5.0	2.3631907	5.0914993	0.2722973	0.0	1.609438	7.6496925	-1.4418643	12.7938595	6.3585095	8.482809	8.482809	1.05141	1.0117159	-0.19870026	-0.21891639	0.8600806	1.175566	-1.0344605	2.0772681	-0.98727083	-1.5111074	-1.3747965	-1.3444808	-1.4059179	-0.18095997	-0.3387906	-0.66214985	-0.7770225	1.4012976	2.0495415
106	106.3	"World War I"	"Germany"	"Belgium"	255	211	"8/4/1914"	"8/31/1914"	"."	1914	0	1	0	0	0	0		1	0	1			580000	177000	30278	0	1	"No"	651.567	1	0.0	694	0.2305152	0	0	0	1	0	1	1	1	1	3923.0	3923.0	1914.0	1913.0	2	2	2	7	16700	7684	894	7	6	28.0	2.9526067	11.52576	0.11634565	0.0	3.3322046			13.270783	6.47938	8.274611	8.274611	-0.057611503	-1.7705028			1.1236722	1.4008828	0.6249865	1.5910989	-0.98727083	-1.3250512	-0.7826911	-0.99497044	-0.52274066			-0.63777465	-0.6707458	1.1423041	0.2010768
139	139.4	"World War II"	"Germany"	"Belgium"	255	211	"5/10/1940"	"5/28/1940"	"."	1940	1	0	0	0	0	0		2	2	1	9500	6500	540000	600000	30278	0	1	"No"	651.567	1	0.0	694	0.2305152	0	0	0	1	0	1	1	1	1	4562.0	4562.0	1940.0	1939.0	-9	-9	-9	10	26015	8295	921	10	10	19.0	2.8811479	11.52576	0.11103074	0.0	2.944439	8.779557	-0.24385075	13.199325	6.47938	8.425516	8.425516	1.05141	1.0117159	-0.19198269	-0.20896943	1.0841776	1.3735662	-1.0344605	2.0772681	-0.98727083	-1.3250512	-0.7826911	-0.99497044	-0.72152895	0.27244458	0.1341313	-0.63777465	-0.6707458	1.3300264	0.13808021
58	58.0	"Franco-Prussian"	"Prussia"	"France"	255	220	"7/24/1870"	"2/15/1871"	"."	1871	1	0	0	0	0	0		1	0	0	93000	77000	1146355	949337	545630	0	0	"No"	878.712	1	10.5	4809	0.30218142	0	0	1	0	0	1	1	1	1	1899.0	1899.0	1870.0	1869.0	-5	-5	-6	-2	18921	36190	3395	-3	-6	207.0	0.74240154	20.359072	0.09381045	0.0	5.332719	11.251561	0.7550226	13.952098	6.778457	7.5490828	7.5490828	-0.057611503	-1.7705028	-0.104339115	-0.049592104	1.5002286	0.55598444	-0.4310252	0.13259158	-0.48597375	0.76681197	-0.452941	-0.5151432	0.502824	1.2644376	0.5284416	-0.56313807	-0.40777934	0.23976107	-0.06602863
139	139.5	"World War II"	"Germany"	"France"	255	220	"5/10/1940"	"6/22/1940"	"."	1940	1	0	0	0	0	0		1	0	1	134000	92000	1450000	1600000	545630	0	1	"Internal"	878.712	1	10.5	4809	0.30218142	0	0	1	1	0	1	1	1	1	4042.0	4042.0	1940.0	1939.0	-9	-9	-9	10	56951	41000	6422	10	10	44.0	0.9773778	20.359072	0.15663415	0.0	3.7841897	11.4295435	0.8082165	14.187074	6.778457	8.304495	8.304495	-0.057611503	-1.7705028	-0.061304554	-0.015682032	1.6300977	0.6458091	-1.0344605	2.0772681	-0.48597375	0.76681197	-0.452941	-0.5151432	-0.29103026	1.3358603	0.5494402	-0.56313807	-0.40777934	1.1794784	0.67860866
1	1.0	"Franco-Spanish"	"France"	"Spain"	220	230	"4/17/1823"	"9/23/1823"	"."	1823	1	0	0	0	0	0		0	1	0	1000	600	100000		499542	0	1	"Internal"	1053.961	1	21.6	3718	0.5172883	0	0	0	0	0	1	1	1	1	1015.1	1015.1	1823.0	1822.0	-4	-4	-4	-4	0	11672	269	-4	-4	160.0	-1.6085215	36.664417	0.023046607	0.0	5.075174	6.3969297	-2.9680185	11.512925	6.960311	6.9227424	6.9227424	-1.1666329	-0.37939346	-0.20090447	-0.22230738	0.15211956	-0.34270647	-0.2801664	-0.19152117	0.04396891	0.21220136	0.53680724	0.37056628	0.37079343	-0.68368244	-0.94124776	-0.5055537	-0.2478826	-0.5393936	-0.9047788
55	55.2	"Seven Weeks"	"Prussia"	"Hannover"	255	240	"6/16/1866"	"6/23/1866"	"."	1866	1	0	0	0	0	0		2	2	1	500	379	437262	20000	39000	0	1	"No"	250.039	1				0	0	0	0	0	0	1	0	0		1771.0	1866.0	1865.0	-7	-7	-7		234	1934	0			8.0	2.416971		0.0	0.0	2.0794415	5.9375362	-1.6298095	12.988288	5.521617		7.4792995	1.05141	1.0117159	-0.2014293	-0.22280699	0.9675395	1.1961246	-0.73274285						-1.1649703	-0.8680329	-0.41298294	-0.7697111	-1.5128686		-1.1779459
139	139.13	"World War II"	"Soviet Union"	"Germany"	365	255	"5/10/1940"	"5/8/1945"	"."	1945	1	0	0	0	0	0		1	1	0	7000000	2850000	11042000	9200000	468787	0	0	"External"	1610.3	1	2.0	2964	0.307968	1	0	1	1	0	1	1	1	1	4514.0	4514.0	1940.0	1939.0	-9	-9	-9	-9	133062	89697	23627	-9	-9	1825.0	3.159313	16.3984	0.26340902	1.0	7.509335	14.862829	3.458637	16.217216	7.384176	8.414939	8.414939	-0.057611503	-0.37939346	7.1454105	6.2192492	2.7521396	1.4799008	-1.0344605	-1.001803	-0.8917857	-0.17109506	-0.4263159	-0.73028773	1.6186674	2.713607	1.5957072	-0.32274866	0.12480477	1.3168685	1.9441906
55	1009.0	"Prussia-Baden"	"Prussia"	"Baden"	255	267	"6/15/1848"	"7/12/1848"	"."	1848	0	0	0	1	0	0		0	1	0			60000	20000	3400	0	1	"1"	527.344	6				0	0	0	0	0	0	1	0	0		1423.0	1848.0	1847.0	-9	-9	-9	-4	-9	1364	0	-4	-4	28.0	2.8705692		0.0	0.0	3.3322046			11.0021	6.2678533		7.2605224	-1.1666329	-0.37939346			-0.13020895	1.3695223	-1.0344605	-0.19152117					-0.52274066			-0.67859256	-0.8567329		-1.1779459
55	55.1	"Seven Weeks"	"Prussia"	"Saxony"	255	269	"6/16/1866"	"6/23/1866"	"."	1866	1	0	0	0	0	0		1	0	1	674	241	437262	32000	18413	0	1	"No"	168.031	1				0	0	0	0	0	0	1	0	0		1771.0	1866.0	1865.0	-7	-7	-7	-7	2859	2383	159	-7	-7	8.0	3.1674757		0.06672262	0.0	2.0794415	5.484797	-2.2913187	12.988288	5.1241484		7.4792995	-0.057611503	-1.7705028	-0.20124665	-0.22311896	0.9675395	1.4830211	-0.73274285	-0.6776903					-1.1649703	-1.0497131	-0.674117	-0.79665774	-1.8623468		-0.38709548
55	55.3	"Seven Weeks"	"Prussia"	"Hesse-Electoral"	255	273	"6/16/1866"	"6/23/1866"		1866	1	0	0	0	0	0		2	2	1	15000	88	437262	20000	20000	0	1	"No"	301.394	1				0	0	0	0	0	0	1	0	0		1771.0	1866.0	1865.0	-7	-7	-7		420	749	0			8.0	3.0848002		0.0	0.0	2.0794415	4.477337	-2.1414022	12.988288	5.7084184		7.4792995	1.05141	1.0117159	-0.18620975	-0.22346485	0.9675395	1.4514167	-0.73274285						-1.1649703	-1.4539977	-0.61493677	-0.7528365	-1.3486216		-1.1779459
139	139.1	"World War II"	"Germany"	"Poland"	255	290	"9/1/1939"	"10/5/1939"	"."	1939	1	0	0	0	0	0		2	2	1	76870	66300	1250000	800000	304465	0	1	"No"	517.671	1	0.8	2501	0.2917351	0	0	0	1	0	1	1	1	1	2182.0	2182.0	1939.0	1938.0	-9	-9	-9	-6	23882	35486	3914	-6	-6	35.0	1.4123427	14.986755	0.11029702	0.0	3.5553482	11.101945	0.6250516	14.038654	6.24934	7.6879973	7.6879973	1.05141	1.0117159	-0.12126955	-0.07378128	1.5480677	0.81208384	-1.0344605	-0.51563394	-0.9490768	-0.40646145	-0.5010065	-0.8069685	-0.408346	1.2043979	0.4771349	-0.681771	-0.8730108	0.412568	0.1293835
112	112.0	"Hungarian-Allies"	"Romania"	"Hungary"	360	310	"4/16/1919"	"8/4/1919"	"."	1919	1	0	0	0	0	0		1	1	0	9000	3000	96000	31000	92340	0	1	"Internal"	643.199	1	0.0	936	0.20040058	1	0	1	1	1	1	1	1	1	1709.0	1709.0	1919.0	1918.0	-4	-4	-4	-6	3054	7880	1176	-6	-4	111.0	0.038870774	10.020029	0.14923857	0.0	4.7095304	8.006368	-0.9657156	11.472103	6.466454	7.4436636	7.4436636	-0.057611503	-0.37939346	-0.19250749	-0.21688178	0.1295576	0.28704464	-0.2801664	-0.51563394	-0.98727083	-1.2020303	-0.9212543	-1.076762	0.1833461	-0.037829433	-0.15082851	-0.64052427	-0.6821112	0.10862178	0.59095025
139	139.12	"World War II"	"Soviet Union"	"Hungary"	365	310	"6/27/1941"	"2/13/1945"	"."	1945	1	0	0	0	0	0		1	1	1	3171	147435	719500	350000	92340	0	0	"No"	1570.496	1	0.0	936	0.20040058	1	0	1	1	1	1	1	1	1	2743.0	2743.0	1941.0	1940.0	-9	-9	-9		4048	9024	1384	-1	-1	1328.0	2.0530791	10.020029	0.1533688	0.0	7.191429	11.901143	2.7934997	13.486312	7.3591466	7.9168077	7.9168077	-0.057611503	-0.37939346	-0.19862574	0.10963828	1.2427928	1.0570191	-1.0344605		-0.98727083	-1.2020303	-0.9212543	-1.076762	1.4556928	1.5251089	1.3331409	-0.3358277	0.10279761	0.69720334	0.6399051
154	154.0	"Russo-Hungarian"	"Soviet Union"	"Hungary"	365	310	"10/23/1956"	"11/11/1956"	"."	1956	1	0	0	0	0	0		0	1	0	3171	2502	140000		92340	0	1	"No"	1570.496	1	0.0	936	0.20040058	1	0	1	1	1	1	1	1	1	2906.0	2906.0	1956.0	1955.0	-7	-7	-7	-7	13411	9911	1824	-7	-7	20.0	0.416165	10.020029	0.18403794	0.0	2.9957323	7.824846	-1.3765548	11.849398	7.3591466	7.974533	7.974533	-1.1666329	-0.37939346	-0.19862574	-0.2180076	0.33808494	0.4312735	-0.73274285	-0.6776903	-0.98727083	-1.2020303	-0.9212543	-1.076762	-0.69523335	-0.11067253	-0.31300938	-0.3358277	0.10279761	0.76901263	1.0034205
1005	1005.0	"Germany-Czechoslovakia"	"Germany"	"Czechoslovakia"	255	315	"3/15/1939"	"3/16/1939"	"."	1939	0	0	0	1	0	0		2	2	0	50	50			125352	0	1	"0"	280.25	1	6.0	2561	0.34023553	0	0	0	1	0	1	1	1	1	2882.0	2882.0	1939.0	1938.0	-9	-9	-9	7	30745	14680	1636	7	7	2.0		20.011776	0.11144414	0.0	0.6931472	3.912023	-5.682218		5.635682	7.96624	7.96624	1.05141	1.0117159	-0.20190161	-0.22355075			-1.0344605	1.5910989	-0.7008153	-0.37596038	-0.27784672	-0.5340084	-1.8756548	-1.6808531	-2.0126917	-0.75978416	-1.4125756	0.7586961	0.14298011
1002	1002.0	"Prague Spring"	"Soviet Union"	"Czechoslovakia"	365	315	"8/20/1968"	"8/21/1968"	"."	1968	0	0	0	1	0	0		0	1	0	81	70	600000		125352	0	1	"0"	1669.639	1	6.0	2561	0.34023553	0	0	1	0	0	1	1	1	1	6223.0	6223.0	1968.0	1967.0	-7	-7	-7	-7	72887	14361	2202	-7	-7	2.0	1.5658039	20.011776	0.15333194	0.0	0.6931472	4.248495	-5.3237762	13.304685	7.420363	8.736008	8.736008	-1.1666329	-0.37939346	-0.20186909	-0.22350554	1.1424091	0.8707477	-0.73274285	-0.6776903	-0.7008153	-0.37596038	-0.27784672	-0.5340084	-1.8756548	-1.5458299	-1.8711951	-0.3032507	0.15662271	1.7162715	0.63946813
139	139.8	"World War II"	"United States"	"Italy"	2	325	"6/19/1940"	"9/8/1943"	"."	1943	1	1	0	0	0	0		1	1	1	140000	110823	375000	400000	294020	1	0	"External"	1436.429	6	22.2	4807	0.31019005	0	0	1	1	0	1	1	1	1	3039.0	3039.0	1940.0	1939.0	10	10	10	-9	3388	44830	8682	-9	-9	1177.0	0.24327824	26.609503	0.19366495	1.0	7.070724	11.615689	0.9050568	12.8346815	7.2699156	8.019284	8.019284	-0.057611503	-0.37939346	-0.055006813	0.026870582	0.88264257	0.3651838	1.8318571	-1.001803	0.072614476	0.76579523	-0.41609177	-0.17561862	1.3938133	1.4105589	0.58766836	-0.37988022	0.02434036	0.8246822	1.1175276
16	16.0	"Roman Republic"	"France"	"Papal States"	220	327	"4/30/1849"	"7/2/1849"	"."	1849	1	0	0	0	0	0		0	1	0	2267	1433	34000	18600	41440	0	1	"No"	1107.412	4				0	0	0	0	0	1	1	0	1	1350.0	1350.0	1849.0	1848.0	6	6	-1	-9	-9	2999	172	-9	-9	64.0	-0.19788608		0.05735245	0.0	4.158883	7.267525	-0.73850876	10.434115	7.009781	7.20786	7.20786	-1.1666329	-0.37939346	-0.1995746	-0.22042425	-0.444129	0.19653924	1.2284218	-1.001803					-0.0989435	-0.33432028	-0.061137456	-0.4879905	-0.20438565	-0.1847131	-0.49815825
34	34.0	"Italo-Roman"	"Sardinia/Piedmont"	"Papal States"	325	327	"9/10/1860"	"9/29/1860"	"."	1860	1	0	0	0	0	0		2	2	1	2670	2370	33000	18000	41440	1	1	"No"	525.451	1				0	0	0	0	0	0	1	0	0		1447.0	1860.0	1859.0	-7	-7	-7	-9	-9	3162	184	-9	-9	20.0	-0.22773904		0.05819102	0.0	2.9957323	7.770645	-0.2883148	10.404263	6.264257		7.277248	1.05141	1.0117159	-0.1991516	-0.218306	-0.4606284	0.18512732	-0.73274285	-1.001803					-0.69523335	-0.13242278	0.1165789	-0.6792146	-0.859895		-0.48821884
1007	1007.0	"Austria-Two Sicilies"	"Austria"	"Two Sicilies"	300	329	"1/15/1821"	"3/24/1821"	"."	1821	0	0	0	1	0	0		0	1	0	85	75	52000	10000	100000	0	1	"1"	837.231	4				0	0	0	0	1	1	1	0	1		1124.7667	1821.0	1820.0	-10	-10	-10	-6	-9	6974	483	-6	-10	69.0	-0.6539265		0.069257244	0.0	4.2341065	4.317488	-4.532456	10.858999	6.7301		7.025331	-1.1666329	-0.37939346	-0.20186488	-0.22349423	-0.20929946	0.022207988	-1.1853193	-0.51563394					-0.060380165	-1.5181437	-1.5588174	-0.5767681	-0.4502977		-0.357053
37	37.0	"Italo-Sicilian"	"Sardinia/Piedmont"	"Naples"	325	329	"9/10/1860"	"3/20/1861"	"."	1861	1	0	0	0	0	0		2	2	0	15200	14010	38000	32000	100000	0	1	"No"	712.44	6				0	0	0	0	0	0	1	0	0		1447.0	1860.0	1859.0	-7	-7	-7	-10	-9	9179	647	-10	-10	192.0	-0.967584		0.07048698	0.0	5.2574954	9.547526	0.42285308	10.5453415	6.5686955		7.277248	1.05141	1.0117159	-0.18599983	-0.19199179	-0.38265532	-0.097694345	-0.73274285	-1.1638595					0.46426067	0.5806237	0.39731604	-0.6177727	-0.59221435		-0.34247723
1008	1008.0	"Austria-Tuscany"	"Austria"	"Tuscany"	300	337	"5/1/1849"	"5/25/1849"	"."	1849	0	0	0	1	0	0		0	1	0	50	50	10000		23000	0	1	"1"	632.834	6				0	0	0	0	1	1	1	0	1		1342.2333	1849.0	1848.0	-6	-6	-10	-7	-9	1554	105	-7	-10	25.0	-0.8329091		0.067567565	0.0	3.218876	3.912023	-3.4365644	9.2103405	6.450208		7.2020903	-1.1666329	-0.37939346	-0.20190161	-0.22355075	-1.1204985	-0.04621197	-0.581884	-0.6776903					-0.5808387	-1.6808531	-1.1262087	-0.6439301	-0.6963955		-0.37708047
1001	1001.0	"Italy-Albania"	"Italy"	"Albania"	325	339	"4/7/1939"	"4/12/1939"	"."	1939	0	0	0	1	0	0		2	2	1	185	160	22000		27398	0	1	"0"	612.459	1	8.684467	2753	0.38138685	1	1	1	1	0	1	1	1	1	975.0	975.0	1939.0	1938.0	-9	-9	-9	-9	174	1070	0	-9	-9	6.0	-0.21942757	23.411575	0.0	0.0	1.7917595	5.075174	-1.9002401	9.998797	6.417482	6.8824377	6.8824377	1.05141	1.0117159	-0.20175992	-0.22330208	-0.68472534	0.18830454	-1.0344605	-1.001803	-0.5726519	-0.27835706	-0.08850161	-0.34933066	-1.3124506	-1.2140912	-0.51973677	-0.650625	-0.72517043	-0.5895318	-1.1779459
106	106.1	"World War I"	"Austria-Hungary"	"Serbia"	300	345	"8/1/1914"	"12/4/1915"	"."	1915	1	0	0	0	0	0		2	2	1	95000	45000	330000	533000	67000	0	1	"No"	491.813	1	13.4	2656	0.29727876	1	0	1	1	0	1	1	1	1	1057.0	1057.0	1914.0	1913.0	-4	-4	-4	4	347	4043	158	4	4	491.0	1.5944	21.563938	0.03907989	0.0	6.196444	10.714417	2.4096756	12.706848	6.1980987	6.96319	6.96319	1.05141	1.0117159	-0.10223987	-0.12193358	0.8119902	0.8816792	-0.2801664	1.1049298	-0.34752026	-0.3276671	-0.4754991	-0.44969466	0.94561315	1.0488867	1.1816243	-0.69026756	-0.9180653	-0.48907748	-0.7147394
139	139.6	"World War II"	"Germany"	"Yugoslavia"	255	345	"4/6/1941"	"4/17/1941"	"5/1/1945"	1941	1	0	0	0	0	1	1	2	2	1			650000	800000	247542	0	1	"No"	1003.051	1	13.4	2656	0.29727876	1	0	1	1	0	1	1	1	1	1412.0	1412.0	1941.0	1940.0	-9	-9	-9	2	3160	15724	796	2	2	12.0	0.9653921	21.563938	0.05062325	0.0	2.4849067			13.3847275	6.910802	7.2527623	7.2527623	1.05141	1.0117159			1.1866481	0.64122736	-1.0344605	0.7808171	-0.34752026	-0.3276671	-0.4754991	-0.44969466	-0.9571084			-0.52228206	-0.29141393	-0.12885553	-0.5779182
1102	1102.0	"Conquest of Bosnia"	"Austria-Hungary"	"Bosnia-Herzegovina"	300	346	"7/29/1878"	"10/1/1878"	"."	1878	0	4	1	0	1	0		2	2	0			198930		51187		1	"0"	509.172	1	60.5	2386	0.5292969	1	1	1	1	1	1	1	1	1		1174.75	1878.0	1877.0	-4	-4	-4							65.0	1.3574674	56.714844		0.0	4.1743875			12.200708	6.2327857		7.0688105	1.05141	1.0117159			0.53225124	0.7911066	-0.2801664		1.9011552	-0.46492177	0.5920609	1.4597093	-0.090995185			-0.68456364	-0.8875664		
